sequence	run_id	stage_id	stage_code	category	manifest_phase	runner_phase	stage_name
238	stage0829_0238_graph-prefill_stage10002	10002	TRI-FINAL-NORM-S02	triton	graph-prefill	graph-prefill	当前CUDA Context查询
239	stage0829_0239_graph-prefill_stage10003	10003	TRI-FINAL-NORM-S03	triton	graph-prefill	graph-prefill	CUDA Context稀有初始化分支
240	stage0829_0240_graph-prefill_stage10004	10004	TRI-FINAL-NORM-S04	triton	graph-prefill	graph-prefill	function/stream/arg-count物化
241	stage0829_0241_graph-prefill_stage10005	10005	TRI-FINAL-NORM-S05	triton	graph-prefill	graph-prefill	Kernel参数存储与void**数组构造
242	stage0829_0242_graph-prefill_stage10006	10006	TRI-FINAL-NORM-S06	triton	graph-prefill	graph-prefill	Block geometry物化
243	stage0829_0243_graph-prefill_stage10007	10007	TRI-FINAL-NORM-S07	triton	graph-prefill	graph-prefill	cuLaunchKernel精确Driver API
244	stage0829_0244_graph-prefill_stage10008	10008	TRI-FINAL-NORM-S08	triton	graph-prefill	graph-prefill	Driver返回状态检查
245	stage0829_0245_graph-prefill_stage10009	10009	TRI-FINAL-NORM-S09	triton	graph-prefill	graph-prefill	Python扩展返回尾部
246	stage0829_0246_graph-capture-full_stage1000	1000	OP-001	operator_total	graph-capture	graph-capture-full	triton_red_fused__to_copy_embedding_rms_norm_0 总区间
247	stage0829_0247_graph-capture-full_stage1001	1001	OP-002	operator_total	graph-capture	graph-capture-full	aten::mm CUDA out实现总区间
248	stage0829_0248_graph-capture-full_stage1002	1002	OP-003	operator_total	graph-capture	graph-capture-full	triton_red_fused_1 总区间
249	stage0829_0249_graph-capture-full_stage1003	1003	OP-004	operator_total	graph-capture	graph-capture-full	triton_poi_fused_add_index_select_mul_rms_norm_split_split_with_sizes_sub_unsqueeze_view_2 总区间
250	stage0829_0250_graph-capture-full_stage1004	1004	OP-005	operator_total	graph-capture	graph-capture-full	triton_poi_fused_add_index_select_mul_rms_norm_split_split_with_sizes_sub_unsqueeze_view_3 总区间
251	stage0829_0251_graph-capture-full_stage1005	1005	OP-006	operator_total	graph-capture	graph-capture-full	vllm::unified_kv_cache_update 总区间
252	stage0829_0252_graph-capture-full_stage1006	1006	OP-007	operator_total	graph-capture	graph-capture-full	aten::transpose 总区间
253	stage0829_0253_graph-capture-full_stage1007	1007	OP-008	operator_total	graph-capture	graph-capture-full	aten::as_strided [#1] 总区间
254	stage0829_0254_graph-capture-full_stage1008	1008	OP-009	operator_total	graph-capture	graph-capture-full	aten::split 总区间
255	stage0829_0255_graph-capture-full_stage1009	1009	OP-010	operator_total	graph-capture	graph-capture-full	aten::narrow [#1] 总区间
256	stage0829_0256_graph-capture-full_stage1010	1010	OP-011	operator_total	graph-capture	graph-capture-full	aten::slice [#1] 总区间
257	stage0829_0257_graph-capture-full_stage1011	1011	OP-012	operator_total	graph-capture	graph-capture-full	aten::as_strided [#2] 总区间
258	stage0829_0258_graph-capture-full_stage1012	1012	OP-013	operator_total	graph-capture	graph-capture-full	aten::narrow [#2] 总区间
259	stage0829_0259_graph-capture-full_stage1013	1013	OP-014	operator_total	graph-capture	graph-capture-full	aten::slice [#2] 总区间
260	stage0829_0260_graph-capture-full_stage1014	1014	OP-015	operator_total	graph-capture	graph-capture-full	aten::as_strided [#3] 总区间
261	stage0829_0261_graph-capture-full_stage1015	1015	OP-016	operator_total	graph-capture	graph-capture-full	_C_cache_ops::reshape_and_cache_flash 总区间
262	stage0829_0262_graph-capture-full_stage1016	1016	OP-017	operator_total	graph-capture	graph-capture-full	aten::empty 总区间
263	stage0829_0263_graph-capture-full_stage1017	1017	OP-018	operator_total	graph-capture	graph-capture-full	vllm::unified_attention_with_output 总区间
264	stage0829_0264_graph-capture-full_stage1018	1018	OP-019	operator_total	graph-capture	graph-capture-full	aten::transpose [#1] 总区间
265	stage0829_0265_graph-capture-full_stage1019	1019	OP-020	operator_total	graph-capture	graph-capture-full	aten::as_strided [#1] 总区间
266	stage0829_0266_graph-capture-full_stage1020	1020	OP-021	operator_total	graph-capture	graph-capture-full	aten::split 总区间
267	stage0829_0267_graph-capture-full_stage1021	1021	OP-022	operator_total	graph-capture	graph-capture-full	aten::narrow [#1] 总区间
268	stage0829_0268_graph-capture-full_stage1022	1022	OP-023	operator_total	graph-capture	graph-capture-full	aten::slice [#1] 总区间
269	stage0829_0269_graph-capture-full_stage1023	1023	OP-024	operator_total	graph-capture	graph-capture-full	aten::as_strided [#2] 总区间
270	stage0829_0270_graph-capture-full_stage1024	1024	OP-025	operator_total	graph-capture	graph-capture-full	aten::narrow [#2] 总区间
271	stage0829_0271_graph-capture-full_stage1025	1025	OP-026	operator_total	graph-capture	graph-capture-full	aten::slice [#2] 总区间
272	stage0829_0272_graph-capture-full_stage1026	1026	OP-027	operator_total	graph-capture	graph-capture-full	aten::as_strided [#3] 总区间
273	stage0829_0273_graph-capture-full_stage1027	1027	OP-028	operator_total	graph-capture	graph-capture-full	aten::expand [#1] 总区间
274	stage0829_0274_graph-capture-full_stage1028	1028	OP-029	operator_total	graph-capture	graph-capture-full	aten::as_strided [#4] 总区间
275	stage0829_0275_graph-capture-full_stage1029	1029	OP-030	operator_total	graph-capture	graph-capture-full	aten::expand [#2] 总区间
276	stage0829_0276_graph-capture-full_stage1030	1030	OP-031	operator_total	graph-capture	graph-capture-full	aten::as_strided [#5] 总区间
277	stage0829_0277_graph-capture-full_stage1031	1031	OP-032	operator_total	graph-capture	graph-capture-full	aten::expand [#3] 总区间
278	stage0829_0278_graph-capture-full_stage1032	1032	OP-033	operator_total	graph-capture	graph-capture-full	aten::as_strided [#6] 总区间
279	stage0829_0279_graph-capture-full_stage1033	1033	OP-034	operator_total	graph-capture	graph-capture-full	aten::slice [#3] 总区间
280	stage0829_0280_graph-capture-full_stage1034	1034	OP-035	operator_total	graph-capture	graph-capture-full	aten::as_strided [#7] 总区间
281	stage0829_0281_graph-capture-full_stage1035	1035	OP-036	operator_total	graph-capture	graph-capture-full	aten::slice [#4] 总区间
282	stage0829_0282_graph-capture-full_stage1036	1036	OP-037	operator_total	graph-capture	graph-capture-full	aten::as_strided [#8] 总区间
283	stage0829_0283_graph-capture-full_stage1037	1037	OP-038	operator_total	graph-capture	graph-capture-full	aten::empty_like [#1] 总区间
284	stage0829_0284_graph-capture-full_stage1038	1038	OP-039	operator_total	graph-capture	graph-capture-full	aten::empty_strided [#1] 总区间
285	stage0829_0285_graph-capture-full_stage1039	1039	OP-040	operator_total	graph-capture	graph-capture-full	_vllm_fa2_C::varlen_fwd 总区间
286	stage0829_0286_graph-capture-full_stage1040	1040	OP-041	operator_total	graph-capture	graph-capture-full	aten::reshape [#1] 总区间
287	stage0829_0287_graph-capture-full_stage1041	1041	OP-042	operator_total	graph-capture	graph-capture-full	aten::view [#1] 总区间
288	stage0829_0288_graph-capture-full_stage1042	1042	OP-043	operator_total	graph-capture	graph-capture-full	aten::transpose [#2] 总区间
289	stage0829_0289_graph-capture-full_stage1043	1043	OP-044	operator_total	graph-capture	graph-capture-full	aten::as_strided [#9] 总区间
290	stage0829_0290_graph-capture-full_stage1044	1044	OP-045	operator_total	graph-capture	graph-capture-full	aten::reshape [#2] 总区间
291	stage0829_0291_graph-capture-full_stage1045	1045	OP-046	operator_total	graph-capture	graph-capture-full	aten::_reshape_alias [#1] 总区间
292	stage0829_0292_graph-capture-full_stage1046	1046	OP-047	operator_total	graph-capture	graph-capture-full	aten::empty_like [#2] 总区间
293	stage0829_0293_graph-capture-full_stage1047	1047	OP-048	operator_total	graph-capture	graph-capture-full	aten::empty_strided [#2] 总区间
294	stage0829_0294_graph-capture-full_stage1048	1048	OP-049	operator_total	graph-capture	graph-capture-full	aten::empty [#1] 总区间
295	stage0829_0295_graph-capture-full_stage1049	1049	OP-050	operator_total	graph-capture	graph-capture-full	aten::empty [#2] 总区间
296	stage0829_0296_graph-capture-full_stage1050	1050	OP-051	operator_total	graph-capture	graph-capture-full	aten::empty [#3] 总区间
297	stage0829_0297_graph-capture-full_stage1051	1051	OP-052	operator_total	graph-capture	graph-capture-full	aten::empty [#4] 总区间
298	stage0829_0298_graph-capture-full_stage1052	1052	OP-053	operator_total	graph-capture	graph-capture-full	aten::reshape [#3] 总区间
299	stage0829_0299_graph-capture-full_stage1053	1053	OP-054	operator_total	graph-capture	graph-capture-full	aten::_reshape_alias [#2] 总区间
300	stage0829_0300_graph-capture-full_stage1054	1054	OP-055	operator_total	graph-capture	graph-capture-full	aten::transpose [#3] 总区间
301	stage0829_0301_graph-capture-full_stage1055	1055	OP-056	operator_total	graph-capture	graph-capture-full	aten::as_strided [#10] 总区间
302	stage0829_0302_graph-capture-full_stage1056	1056	OP-057	operator_total	graph-capture	graph-capture-full	aten::view [#2] 总区间
303	stage0829_0303_graph-capture-full_stage1057	1057	OP-058	operator_total	graph-capture	graph-capture-full	aten::copy_ 总区间
304	stage0829_0304_graph-capture-full_stage1058	1058	OP-059	operator_total	graph-capture	graph-capture-full	aten::reshape [#4] 总区间
305	stage0829_0305_graph-capture-full_stage1059	1059	OP-060	operator_total	graph-capture	graph-capture-full	aten::view [#3] 总区间
306	stage0829_0306_graph-capture-full_stage1060	1060	OP-061	operator_total	graph-capture	graph-capture-full	aten::mm CUDA out实现总区间
307	stage0829_0307_graph-capture-full_stage1061	1061	OP-062	operator_total	graph-capture	graph-capture-full	triton_red_fused_fused_add_rms_norm_0 总区间
308	stage0829_0308_graph-capture-full_stage1062	1062	OP-063	operator_total	graph-capture	graph-capture-full	aten::mm CUDA out实现总区间
309	stage0829_0309_graph-capture-full_stage1063	1063	OP-064	operator_total	graph-capture	graph-capture-full	triton_poi_fused_mul_silu_slice_1 总区间
310	stage0829_0310_graph-capture-full_stage1064	1064	OP-065	operator_total	graph-capture	graph-capture-full	aten::mm CUDA out实现总区间
311	stage0829_0311_graph-capture-full_stage1065	1065	OP-066	operator_total	graph-capture	graph-capture-full	triton_red_fused_fused_add_rms_norm_2 总区间
312	stage0829_0312_graph-capture-full_stage1066	1066	OP-067	operator_total	graph-capture	graph-capture-full	aten::mm CUDA out实现总区间
313	stage0829_0313_graph-capture-full_stage1067	1067	OP-068	operator_total	graph-capture	graph-capture-full	triton_red_fused_3 总区间
314	stage0829_0314_graph-capture-full_stage1068	1068	OP-069	operator_total	graph-capture	graph-capture-full	triton_poi_fused_add_index_select_mul_rms_norm_split_split_with_sizes_sub_unsqueeze_view_4 总区间
315	stage0829_0315_graph-capture-full_stage1069	1069	OP-070	operator_total	graph-capture	graph-capture-full	triton_poi_fused_add_index_select_mul_rms_norm_split_split_with_sizes_sub_unsqueeze_view_5 总区间
316	stage0829_0316_graph-capture-full_stage1070	1070	OP-071	operator_total	graph-capture	graph-capture-full	triton_red_fused_fused_add_rms_norm_2 总区间
317	stage0829_0317_graph-capture-full_stage5000	5000	CAP-TOTAL	capture_lifecycle	graph-capture	graph-capture-full	V2 FULL Graph Capture Host总区间
318	stage0829_0318_graph-capture-full_stage5001	5001	CAP-ENTRY	capture_lifecycle	graph-capture	graph-capture-full	FULL正式capture输入/前向闭包准备
319	stage0829_0319_graph-capture-full_stage5002	5002	CAP-GRAPH-OBJ	capture_lifecycle	graph-capture	graph-capture-full	CUDAGraph对象创建
320	stage0829_0320_graph-capture-full_stage5003	5003	CAP-GC-POOL	capture_lifecycle	graph-capture	graph-capture-full	torch.cuda.graph上下文/Pool参数构造
321	stage0829_0321_graph-capture-full_stage5004	5004	CAP-OFFLOAD-SYNC	capture_lifecycle	graph-capture	graph-capture-full	Capture前offloader依赖同步
322	stage0829_0322_graph-capture-full_stage5005	5005	CAP-BEGIN-TOTAL	capture_lifecycle	graph-capture	graph-capture-full	CUDAGraph::capture_begin总区间
323	stage0829_0323_graph-capture-full_stage5006	5006	CAP-BEGIN-SETUP	capture_lifecycle	graph-capture	graph-capture-full	generator/stream/device/mempool准备
324	stage0829_0324_graph-capture-full_stage5007	5007	CAP-ALLOC-POOL-BEGIN	capture_lifecycle	graph-capture	graph-capture-full	Allocator进入Graph pool
325	stage0829_0325_graph-capture-full_stage5008	5008	CAP-STREAM-BEGIN-API	capture_lifecycle	graph-capture	graph-capture-full	cudaStreamBeginCapture Host API
326	stage0829_0326_graph-capture-full_stage5009	5009	CAP-BEGIN-INFO	capture_lifecycle	graph-capture	graph-capture-full	Capture ID/状态确认
327	stage0829_0327_graph-capture-full_stage5010	5010	CAP-MODEL-BODY	capture_lifecycle	graph-capture	graph-capture-full	V2被捕获Qwen3模型体
328	stage0829_0328_graph-capture-full_stage5011	5011	CAP-POST-FWD	capture_lifecycle	graph-capture	graph-capture-full	Capture模型体后offloader join
329	stage0829_0329_graph-capture-full_stage5012	5012	CAP-END-TOTAL	capture_lifecycle	graph-capture	graph-capture-full	CUDAGraph::capture_end总区间
330	stage0829_0330_graph-capture-full_stage5013	5013	CAP-STREAM-END-API	capture_lifecycle	graph-capture	graph-capture-full	cudaStreamEndCapture Host API
331	stage0829_0331_graph-capture-full_stage5014	5014	CAP-ALLOC-POOL-END	capture_lifecycle	graph-capture	graph-capture-full	Allocator退出Graph pool
332	stage0829_0332_graph-capture-full_stage5015	5015	CAP-END-VALIDATE	capture_lifecycle	graph-capture	graph-capture-full	Graph验证/generator epilogue/node查询
333	stage0829_0333_graph-capture-full_stage5016	5016	CAP-INSTANTIATE-API	capture_lifecycle	graph-capture	graph-capture-full	cudaGraphInstantiateWithFlags Host API
334	stage0829_0334_graph-capture-full_stage5017	5017	CAP-DESTROY-EXIT	capture_lifecycle	graph-capture	graph-capture-full	可选cudaGraphDestroy与context退出尾部
335	stage0829_0335_graph-capture-full_stage5018	5018	CAP-PUBLISH-RETURN	capture_lifecycle	graph-capture	graph-capture-full	V2 Graph登记与capture计数
336	stage0829_0336_graph-capture-full_stage6101	6101	GEMM-QKV-S01	gemm	graph-capture	graph-capture-full	输入/shape/device检查
337	stage0829_0337_graph-capture-full_stage6102	6102	GEMM-QKV-S02	gemm	graph-capture	graph-capture-full	后端、输出与空输入分支选择
338	stage0829_0338_graph-capture-full_stage6103	6103	GEMM-QKV-S03	gemm	graph-capture	graph-capture-full	布局与leading-dimension构造
339	stage0829_0339_graph-capture-full_stage6104	6104	GEMM-QKV-S04	gemm	graph-capture	graph-capture-full	dtype模板与后端分派容器
340	stage0829_0340_graph-capture-full_stage6105	6105	GEMM-QKV-S05	gemm	graph-capture	graph-capture-full	cuBLAS handle获取
341	stage0829_0341_graph-capture-full_stage6106	6106	GEMM-QKV-S06	gemm	graph-capture	graph-capture-full	op/ld/scale/math参数准备
342	stage0829_0342_graph-capture-full_stage6107	6107	GEMM-QKV-S07	gemm	graph-capture	graph-capture-full	cublasSetMathMode Host API
343	stage0829_0343_graph-capture-full_stage6108	6108	GEMM-QKV-S08	gemm	graph-capture	graph-capture-full	Math mode状态检查
344	stage0829_0344_graph-capture-full_stage6109	6109	GEMM-QKV-S09	gemm	graph-capture	graph-capture-full	cublasGemmEx Host API
345	stage0829_0345_graph-capture-full_stage6110	6110	GEMM-QKV-S10	gemm	graph-capture	graph-capture-full	GEMM返回状态检查
346	stage0829_0346_graph-capture-full_stage6111	6111	GEMM-QKV-S11	gemm	graph-capture	graph-capture-full	Math mode恢复API与检查
347	stage0829_0347_graph-capture-full_stage6112	6112	GEMM-QKV-S12	gemm	graph-capture	graph-capture-full	实现返回尾部/epilogue/copy
348	stage0829_0348_graph-capture-full_stage6201	6201	GEMM-OPROJ-S01	gemm	graph-capture	graph-capture-full	输入/shape/device检查
349	stage0829_0349_graph-capture-full_stage6202	6202	GEMM-OPROJ-S02	gemm	graph-capture	graph-capture-full	后端、输出与空输入分支选择
350	stage0829_0350_graph-capture-full_stage6203	6203	GEMM-OPROJ-S03	gemm	graph-capture	graph-capture-full	布局与leading-dimension构造
351	stage0829_0351_graph-capture-full_stage6204	6204	GEMM-OPROJ-S04	gemm	graph-capture	graph-capture-full	dtype模板与后端分派容器
352	stage0829_0352_graph-capture-full_stage6205	6205	GEMM-OPROJ-S05	gemm	graph-capture	graph-capture-full	cuBLAS handle获取
353	stage0829_0353_graph-capture-full_stage6206	6206	GEMM-OPROJ-S06	gemm	graph-capture	graph-capture-full	op/ld/scale/math参数准备
354	stage0829_0354_graph-capture-full_stage6207	6207	GEMM-OPROJ-S07	gemm	graph-capture	graph-capture-full	cublasSetMathMode Host API
355	stage0829_0355_graph-capture-full_stage6208	6208	GEMM-OPROJ-S08	gemm	graph-capture	graph-capture-full	Math mode状态检查
356	stage0829_0356_graph-capture-full_stage6209	6209	GEMM-OPROJ-S09	gemm	graph-capture	graph-capture-full	cublasGemmEx Host API
357	stage0829_0357_graph-capture-full_stage6210	6210	GEMM-OPROJ-S10	gemm	graph-capture	graph-capture-full	GEMM返回状态检查
358	stage0829_0358_graph-capture-full_stage6211	6211	GEMM-OPROJ-S11	gemm	graph-capture	graph-capture-full	Math mode恢复API与检查
359	stage0829_0359_graph-capture-full_stage6212	6212	GEMM-OPROJ-S12	gemm	graph-capture	graph-capture-full	实现返回尾部/epilogue/copy
360	stage0829_0360_graph-capture-full_stage6301	6301	GEMM-GATEUP-S01	gemm	graph-capture	graph-capture-full	输入/shape/device检查
361	stage0829_0361_graph-capture-full_stage6302	6302	GEMM-GATEUP-S02	gemm	graph-capture	graph-capture-full	后端、输出与空输入分支选择
362	stage0829_0362_graph-capture-full_stage6303	6303	GEMM-GATEUP-S03	gemm	graph-capture	graph-capture-full	布局与leading-dimension构造
363	stage0829_0363_graph-capture-full_stage6304	6304	GEMM-GATEUP-S04	gemm	graph-capture	graph-capture-full	dtype模板与后端分派容器
364	stage0829_0364_graph-capture-full_stage6305	6305	GEMM-GATEUP-S05	gemm	graph-capture	graph-capture-full	cuBLAS handle获取
365	stage0829_0365_graph-capture-full_stage6306	6306	GEMM-GATEUP-S06	gemm	graph-capture	graph-capture-full	op/ld/scale/math参数准备
366	stage0829_0366_graph-capture-full_stage6307	6307	GEMM-GATEUP-S07	gemm	graph-capture	graph-capture-full	cublasSetMathMode Host API
367	stage0829_0367_graph-capture-full_stage6308	6308	GEMM-GATEUP-S08	gemm	graph-capture	graph-capture-full	Math mode状态检查
368	stage0829_0368_graph-capture-full_stage6309	6309	GEMM-GATEUP-S09	gemm	graph-capture	graph-capture-full	cublasGemmEx Host API
369	stage0829_0369_graph-capture-full_stage6310	6310	GEMM-GATEUP-S10	gemm	graph-capture	graph-capture-full	GEMM返回状态检查
370	stage0829_0370_graph-capture-full_stage6311	6311	GEMM-GATEUP-S11	gemm	graph-capture	graph-capture-full	Math mode恢复API与检查
371	stage0829_0371_graph-capture-full_stage6312	6312	GEMM-GATEUP-S12	gemm	graph-capture	graph-capture-full	实现返回尾部/epilogue/copy
372	stage0829_0372_graph-capture-full_stage6401	6401	GEMM-DOWN-S01	gemm	graph-capture	graph-capture-full	输入/shape/device检查
373	stage0829_0373_graph-capture-full_stage6402	6402	GEMM-DOWN-S02	gemm	graph-capture	graph-capture-full	后端、输出与空输入分支选择
374	stage0829_0374_graph-capture-full_stage6403	6403	GEMM-DOWN-S03	gemm	graph-capture	graph-capture-full	布局与leading-dimension构造
375	stage0829_0375_graph-capture-full_stage6404	6404	GEMM-DOWN-S04	gemm	graph-capture	graph-capture-full	dtype模板与后端分派容器
376	stage0829_0376_graph-capture-full_stage6405	6405	GEMM-DOWN-S05	gemm	graph-capture	graph-capture-full	cuBLAS handle获取
377	stage0829_0377_graph-capture-full_stage6406	6406	GEMM-DOWN-S06	gemm	graph-capture	graph-capture-full	op/ld/scale/math参数准备
378	stage0829_0378_graph-capture-full_stage6407	6407	GEMM-DOWN-S07	gemm	graph-capture	graph-capture-full	cublasSetMathMode Host API
379	stage0829_0379_graph-capture-full_stage6408	6408	GEMM-DOWN-S08	gemm	graph-capture	graph-capture-full	Math mode状态检查
380	stage0829_0380_graph-capture-full_stage6409	6409	GEMM-DOWN-S09	gemm	graph-capture	graph-capture-full	cublasGemmEx Host API
381	stage0829_0381_graph-capture-full_stage6410	6410	GEMM-DOWN-S10	gemm	graph-capture	graph-capture-full	GEMM返回状态检查
382	stage0829_0382_graph-capture-full_stage6411	6411	GEMM-DOWN-S11	gemm	graph-capture	graph-capture-full	Math mode恢复API与检查
383	stage0829_0383_graph-capture-full_stage6412	6412	GEMM-DOWN-S12	gemm	graph-capture	graph-capture-full	实现返回尾部/epilogue/copy
384	stage0829_0384_graph-capture-full_stage7601	7601	KV-S01	kv_flash	graph-capture	graph-capture-full	shape元数据读取
385	stage0829_0385_graph-capture-full_stage7602	7602	KV-S02	kv_flash	graph-capture	graph-capture-full	DeviceGuard
386	stage0829_0386_graph-capture-full_stage7603	7603	KV-S03	kv_flash	graph-capture	graph-capture-full	当前CUDA stream获取
387	stage0829_0387_graph-capture-full_stage7604	7604	KV-S04	kv_flash	graph-capture	graph-capture-full	KV cache dtype路径选择
388	stage0829_0388_graph-capture-full_stage7605	7605	KV-S05	kv_flash	graph-capture	graph-capture-full	stride/scale检查与参数打包
389	stage0829_0389_graph-capture-full_stage7606	7606	KV-S06	kv_flash	graph-capture	graph-capture-full	Grid/Block geometry
390	stage0829_0390_graph-capture-full_stage7607	7607	KV-S07	kv_flash	graph-capture	graph-capture-full	KV/cache dtype模板分派
391	stage0829_0391_graph-capture-full_stage7608	7608	KV-S08	kv_flash	graph-capture	graph-capture-full	cudaLaunchKernel精确Runtime API
392	stage0829_0392_graph-capture-full_stage7609	7609	KV-S09	kv_flash	graph-capture	graph-capture-full	返回尾部
393	stage0829_0393_graph-capture-full_stage8001	8001	FA-S01	kv_flash	graph-capture	graph-capture-full	Device/能力/dtype/contiguous验证
394	stage0829_0394_graph-capture-full_stage8002	8002	FA-S02	kv_flash	graph-capture	graph-capture-full	shape/paged-KV/window分支容器
395	stage0829_0395_graph-capture-full_stage8003	8003	FA-S03	kv_flash	graph-capture	graph-capture-full	Decode Q relayout决策与view链
396	stage0829_0396_graph-capture-full_stage8004	8004	FA-S04	kv_flash	graph-capture	graph-capture-full	输出/辅助Tensor分配与可选zero
397	stage0829_0397_graph-capture-full_stage8005	8005	FA-S05	kv_flash	graph-capture	graph-capture-full	Flash_fwd_params主参数打包
398	stage0829_0398_graph-capture-full_stage8006	8006	FA-S06	kv_flash	graph-capture	graph-capture-full	split-KV调度与累加buffer
399	stage0829_0399_graph-capture-full_stage8007	8007	FA-S07	kv_flash	graph-capture	graph-capture-full	leftpad/alibi可选参数配置
400	stage0829_0400_graph-capture-full_stage8008	8008	FA-S08	kv_flash	graph-capture	graph-capture-full	当前CUDA stream获取
401	stage0829_0401_graph-capture-full_stage8009	8009	FA-S09	kv_flash	graph-capture	graph-capture-full	dtype/head/causal/split模板分派
402	stage0829_0402_graph-capture-full_stage8010	8010	FA-S10	kv_flash	graph-capture	graph-capture-full	Primary geometry/kernel pointer/属性准备
403	stage0829_0403_graph-capture-full_stage8011	8011	FA-S11	kv_flash	graph-capture	graph-capture-full	Primary cudaLaunchKernel Host API
404	stage0829_0404_graph-capture-full_stage8012	8012	FA-S12	kv_flash	graph-capture	graph-capture-full	Primary post-launch状态检查
405	stage0829_0405_graph-capture-full_stage8013	8013	FA-S13	kv_flash	graph-capture	graph-capture-full	Combine分支/grid/模板选择
406	stage0829_0406_graph-capture-full_stage8014	8014	FA-S14	kv_flash	graph-capture	graph-capture-full	Combine cudaLaunchKernel Host API
407	stage0829_0407_graph-capture-full_stage8015	8015	FA-S15	kv_flash	graph-capture	graph-capture-full	Combine post-launch状态检查
408	stage0829_0408_graph-capture-full_stage8016	8016	FA-S16	kv_flash	graph-capture	graph-capture-full	提交后relayout/copy/LSE布局
409	stage0829_0409_graph-capture-full_stage8017	8017	FA-S17	kv_flash	graph-capture	graph-capture-full	C++返回尾部
410	stage0829_0410_graph-capture-full_stage9001	9001	TRI-EMBED-NORM-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
411	stage0829_0411_graph-capture-full_stage9002	9002	TRI-EMBED-NORM-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
412	stage0829_0412_graph-capture-full_stage9003	9003	TRI-EMBED-NORM-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
413	stage0829_0413_graph-capture-full_stage9004	9004	TRI-EMBED-NORM-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
414	stage0829_0414_graph-capture-full_stage9005	9005	TRI-EMBED-NORM-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
415	stage0829_0415_graph-capture-full_stage9006	9006	TRI-EMBED-NORM-S06	triton	graph-capture	graph-capture-full	Block geometry物化
416	stage0829_0416_graph-capture-full_stage9007	9007	TRI-EMBED-NORM-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
417	stage0829_0417_graph-capture-full_stage9008	9008	TRI-EMBED-NORM-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
418	stage0829_0418_graph-capture-full_stage9009	9009	TRI-EMBED-NORM-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
419	stage0829_0419_graph-capture-full_stage9101	9101	TRI-L0-QK-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
420	stage0829_0420_graph-capture-full_stage9102	9102	TRI-L0-QK-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
421	stage0829_0421_graph-capture-full_stage9103	9103	TRI-L0-QK-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
422	stage0829_0422_graph-capture-full_stage9104	9104	TRI-L0-QK-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
423	stage0829_0423_graph-capture-full_stage9105	9105	TRI-L0-QK-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
424	stage0829_0424_graph-capture-full_stage9106	9106	TRI-L0-QK-S06	triton	graph-capture	graph-capture-full	Block geometry物化
425	stage0829_0425_graph-capture-full_stage9107	9107	TRI-L0-QK-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
426	stage0829_0426_graph-capture-full_stage9108	9108	TRI-L0-QK-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
427	stage0829_0427_graph-capture-full_stage9109	9109	TRI-L0-QK-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
428	stage0829_0428_graph-capture-full_stage9201	9201	TRI-L0-KROPE-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
429	stage0829_0429_graph-capture-full_stage9202	9202	TRI-L0-KROPE-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
430	stage0829_0430_graph-capture-full_stage9203	9203	TRI-L0-KROPE-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
431	stage0829_0431_graph-capture-full_stage9204	9204	TRI-L0-KROPE-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
432	stage0829_0432_graph-capture-full_stage9205	9205	TRI-L0-KROPE-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
433	stage0829_0433_graph-capture-full_stage9206	9206	TRI-L0-KROPE-S06	triton	graph-capture	graph-capture-full	Block geometry物化
434	stage0829_0434_graph-capture-full_stage9207	9207	TRI-L0-KROPE-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
435	stage0829_0435_graph-capture-full_stage9208	9208	TRI-L0-KROPE-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
436	stage0829_0436_graph-capture-full_stage9209	9209	TRI-L0-KROPE-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
437	stage0829_0437_graph-capture-full_stage9301	9301	TRI-L0-QROPE-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
438	stage0829_0438_graph-capture-full_stage9302	9302	TRI-L0-QROPE-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
